ADDRESS,AMOUNT,TAG
0x7a0922657e550ba1ef76531454cb6d203d4d168153a0f05671492982c2f7741,0.3134634343,
0x1539f12314fe5b97395c2b20e53798b8cde7f845c3d377f099e99ec2aaa99b4,0.3127099781,
0x362b4455f5f4cc108a5a1ab1fd2cc6c4f0c70597abb541a99cf2734435ec9cb,0.3123691942,Nostra: DAI Debt Token
0x4d70758d392e0563a8a0076d4b72847048dea7d65199c50eabc8e855ca62931,0.3120236294,
0x74c31eb40b4f704814a8b9764889f21a7b12464765c4e235ade9b7dfff63660,0.3109668419,Braavos: Stake wstETH
0xd7e0d63b84379a2e6790d916a55c764842b93d637ed522abe71579def3dc69,0.3084353477,
0x7f409bd2e266e00486566dd3cb72bacc6996f49c0b19f04c0a8b5bd7bf991d1,0.3061147048,
0x7e0dee6385dbdd09f28e7e937fa41e43c0c5a1b7bac818953e85305bd01b733,0.3052145618,
0x64a24243f2aabae8d2148fa878276e6e6e452e3941b417f3c33b1649ea83e11,0.2979742784,Orbiter Finance: Bridge 2
0x12f8e318fe04a1fe8bffe005ea4bbd19cb77a656b4f42682aab8a0ed20702f0,0.2963661363,StarkRocks: NFT
0x611e8f4f3badf1737b9e8f0ca77dd2f6b46a1d33ce4eed951c6b18ac497d505,0.2937296901,mySwap: DAI/USDC Pool
0x5e4aa1f595b9f33390a0266633adc3158812b618dc1bf11678b58a36a68c85a,0.2867183922,
0x22ccca3a16c9ef0df7d56cbdccd8c4a6f98356dfd11abc61a112483b242db90,0.2834804714,
0x52d6d27fc5199911bf4fb7833b54b603a92e5174e539b0dd2035a262e9e9d4e,0.2829200917,
0x7bee717da6bf60f0d24e265d28fd86451b3b1864327b78ac89878a849656d36,0.2758414429,
0x29a303b928b9391ce797ec27d011d3937054bee783ca7831df792bae00c925c,0.2757640813,JediSwap: Zapper
0x7f38b56b0d0747f0add232548e956d94bc9c2fda824e99403d7be8779d2790c,0.2754862527,
0x27fb5a7be4707e2b1fe653e7296ad30114596fafdd3fbc3f9b92a0551ff18ec,0.2628820159,
0x4f7e61fa8adab9e958f8c832868f77b149803834daa00491a1f2fbcd5dc5fb4,0.2611831454,
0x4c6fe73a62e5b8970959520b5a2fc9c1572ed2df55d4d955212680cace46f0f,0.2600599648,
0x781f73ddceadd9f2fd1ee3daebb3c7a19f4ac02d6279d2847a29b3cc441d534,0.2523457629,
0x4244758dc89add83255ee9268e041117dc3249efeb29652ac0916c0e3a55c59,0.249120095,
0x77c4206101272d79b7603cb9b51f6d54d1b50903ab31696f9dfbebe20d851c7,0.2440217379,
0x2ac5be4b280f6625a56b944bab9d985fbbc9f180ff4b08b854b63d284b7f6ae,0.2415852534,
0x5ca0a96e4593741c8bd9fb5ab270716371898c4746278b8ceecedb6a6a85a2d,0.2386844651,
0x15905d4ce047ed501b498964e74d82750c22826db5a38449080e9bf4e4796ca,0.2372061713,
0x24bd1600bbe18593e983f858f2e7a69148e6b973f43b6304b2b8cf110059595,0.2326587154,
0x274a2ef0e6aadb781777954ec78832fbe490de0f0f1484354b99f328f74ab36,0.231591228,The Ninth: Seance
